レース	馬番	馬名	前半3F	向正面	出自
1	2		41.5		推定
1	3		41.4		推定
1	4		41.1		推定
1	5		40.9		推定
5	1		38.9		実測(融合2頭)
5	2		38.3		実測(融合2頭)
5	3		38.3		実測(融合2頭)
5	4		38.8		実測
5	5		39.0		実測(融合3頭)
5	6		39.0		実測(融合3頭)
5	7		39.5		実測
5	8		38.9		実測(融合2頭)
5	9		39.0		実測(融合3頭)
6	1		39.3		推定
6	2		38.0		推定
6	3		37.1		推定
6	4		37.7		推定
6	5		38.7		推定
6	6		38.7		推定
6	7		38.2		推定
6	8		37.4		推定
6	9		37.9		推定
6	10		38.0		推定
6	11		37.3		推定
7	1		40.4		実測(融合2頭)
7	2		40.6		実測(融合3頭)
7	3		40.4		実測(融合2頭)
7	4		40.6		実測(融合3頭)
7	5		41.2		実測
7	7		40.9		実測
7	8		40.6		実測(融合3頭)
7	9		40.0		実測
8	1		41.9		推定
8	2		40.8		推定
8	3		40.6		推定
8	4		41.5		推定
8	5		39.9		推定
8	6		39.3		推定
8	7		41.3		推定
8	8		41.1		推定
8	9		39.7		推定
8	10		40.7		推定
8	11		39.5		推定
9	1		39.0		推定
9	2		39.4		推定
9	3		39.4		推定
9	4		38.8		推定
9	5		39.6		推定
9	6		40.9		推定
9	7		41.0		推定
9	8		40.8		推定
10	1		39.5		推定
10	2		39.5		推定
10	3		39.8		推定
10	4		39.7		推定
10	5		39.9		推定
10	6		39.7		推定
10	7		39.2		推定
10	8		39.9		推定
