レース	馬番	馬名	前半3F
1	1		39.0
1	2		37.9
1	4		37.9
1	5		39.9
2	1		39.8
2	2		38.7
2	3		40.0
2	4		40.5
2	5		40.9
2	6		38.3
2	7		38.9
2	8		39.0
2	9		38.8
2	10		39.0
3	1		38.8
3	2		39.4
3	3		38.5
3	4		38.6
3	5		39.0
3	6		38.6
3	7		38.6
3	8		38.8
4	1		39.0
4	2		40.1
4	3		40.2
4	4		40.1
4	5		39.9
4	6		40.2
4	7		39.5
4	8		40.0
4	9		39.7
4	10		39.0
4	11		39.1
5	1		38.7
5	2		39.0
5	3		39.3
5	4		38.7
5	5		38.5
5	6		39.7
5	7		40.1
5	8		38.9
5	9		40.0
5	10		38.6
6	1		38.0
6	2		39.1
6	4		38.8
6	5		38.8
6	6		38.1
6	7		37.5
6	8		38.6
6	9		37.8
7	1		40.6
7	2		38.7
7	4		39.5
7	5		38.1
7	6		38.8
7	7		37.8
7	8		40.1
7	9		38.3
7	10		39.9
9	1		39.2
9	2		38.5
9	3		37.7
9	4		37.0
9	5		40.3
9	6		38.3
9	7		37.6
9	8		40.1
9	9		39.7
9	10		38.6
10	1		38.8
10	2		39.7
10	3		38.4
10	4		39.2
10	5		39.5
10	6		39.2
10	7		39.9
10	8		38.8
11	1		38.4
11	2		39.6
11	3		38.3
11	4		40.0
11	5		39.6
11	6		41.3
11	7		40.0
11	8		41.9
11	9		38.4
11	11		38.5
11	12		38.5
